id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Jerald;Kertzmann;Avis.Strosin@gmail.com;Borders open-source;2019-08-22T06:08:26;9526;16352
2;Macie;Hudson;Wade85@gmail.com;Garden Rhode Island;2019-08-22T06:00:08;13087;39665
3;Waino;Feil;Darrin.Feest44@yahoo.com;interface;2019-08-22T09:36:02;33700;66939
4;Rhoda;Corkery;Isobel_Franecki@yahoo.com;port Pants Shirt;2019-08-22T19:29:27;60553;73640
5;Fletcher;Ondricka;Jaron_Sauer80@yahoo.com;Utah COM;2019-08-22T15:25:51;53990;11191
6;Alexys;Gleichner;Anais.Casper@hotmail.com;Small Metal Computer Multi-channelled Sausages;2019-08-22T18:14:45;31615;10330
7;Joel;McDermott;Martin_Cormier@gmail.com;Developer Books;2019-08-21T21:31:40;32313;63911
8;Wava;Stroman;Jack_Funk@yahoo.com;open-source Burundi;2019-08-22T17:21:12;2997;13271
9;Eloise;Considine;Trisha_Douglas16@hotmail.com;blue feed Table;2019-08-22T14:44:30;86814;96334
10;Charlie;Gaylord;Maida_Smitham37@hotmail.com;Health Polarised transmitting;2019-08-21T23:37:15;57060;76851
